DC_ID,COMPONENT_1,COMPONENT_2,EFFICACY,EFFECT_TYPE,DISEASE,ICD10_S
DC000113,lovastatin,niacin,Efficacious,Synergistic,It is used to lower cholesterol and triglycerides (types of fat) in the blood.,E78 Disorders of lipoprotein metabolism and other lipidemias
DC000146,acetaminophen,oxycodone,Efficacious,Synergistic,Relief of moderate to moderately severe pain,"R52 Pain, unspecified"
DC000284,amlodipine,perindopril,Efficacious,Synergistic,Hypertension and coronary heart disease,I11  Hypertensive heart disease; I25.1 Atherosclerotic heart disease of native coronary artery
DC000285,dipyridamole,prednisolone,Efficacious,Synergistic,Anti-inflammatory,
DC000087,amlodipine,streptomycin,Efficacious,Synergistic,Bacterial Infections,"A49.9 Bacterial infection, unspecified"
DC000487,amikacin,tigecycline,Efficacious,Synergistic,Multidrug-resistant (MDR) and pan-resistant Acinetobacter baumannii,
DC000154,acetaminophen,tramadol,Efficacious,Synergistic,The short-term (five days or less) management of acute pain.,R52.0 acute pain
DC000402,phenytoin,valproic acid,Efficacious,Synergistic,Drug-resistant epilepsy,G40 Epilepsy and recurrent seizures
DC000480,amlodipine,valsartan,Efficacious,Synergistic,For patients with hypertension,I10 Essential (primary) hypertension
DC000044,hydrochlorothiazide,valsartan,Efficacious,Synergistic,For patients with hypertension,I10 Essential (primary) hypertension
DC000101,lamivudine,zidovudine,Efficacious,Synergistic,The treatment of HIV-1 infection in adults,B20  Human immunodeficiency virus [HIV] disease
